UserID,DeviceID,LogTime,S No
537,OX-8862021010012,2022-09-27 14:50:06,6025
80,OX-8862021010097,2022-09-27 14:49:17,8131
326,OX-8862021010097,2022-09-27 14:49:24,8132
53,OX-8862021010087,2022-09-27 14:51:38,249
128,OX-8862021010079,2022-09-27 14:53:52,12552
668,OX-8862021010003,2022-09-27 14:55:01,21780
638,OX-8862021010087,2022-09-27 14:53:50,250
92,OX-8862021010003,2022-09-27 14:55:33,21781
48,FC-8300T20094181,2022-09-27 14:52:21,20188
538,OX-8862021010078,2022-09-27 14:56:40,12997
563,OX-8862021010082,2022-09-27 14:56:13,11550
282,FC-8300T20094181,2022-09-27 14:55:24,20189
30,OX-8862021010082,2022-09-27 14:58:59,11551
513,FC-8300T20094181,2022-09-27 14:57:46,20190
522,OX-8862021010092,2022-09-27 14:58:41,23603
538,OX-8862021010078,2022-09-27 15:03:20,12998
668,OX-8862021010003,2022-09-27 15:04:26,21782
522,OX-8862021010092,2022-09-27 15:03:09,23604
529,OX-8862021010092,2022-09-27 15:03:17,23605
638,OX-8862021010087,2022-09-27 15:05:14,251
588,OX-8862021010002,2022-09-27 15:06:12,12556
513,FC-8300T20094181,2022-09-27 15:03:51,20191
652,OX-8862021010097,2022-09-27 15:04:15,8133
657,OX-8862021010097,2022-09-27 15:04:28,8134
638,OX-8862021010087,2022-09-27 15:07:29,252
529,OX-8862021010092,2022-09-27 15:06:16,23606
524,OX-8862021010003,2022-09-27 15:12:07,21783
521,OX-8862021010099,2022-09-27 15:13:59,13382
210,OX-8862021010001,2022-09-27 14:52:46,11319
528,OX-8862021010078,2022-09-27 15:18:43,12999
638,OX-8862021010087,2022-09-27 15:18:04,253
46,OX-8862021010024,2022-09-27 15:18:55,13977
621,OX-8862021010092,2022-09-27 15:17:19,23607
46,OX-8862021010024,2022-09-27 15:18:59,13978
673,OX-8862021010092,2022-09-27 15:18:02,23608
147,OX-8862021010094,2022-09-27 15:19:24,11320
46,OX-8862021010024,2022-09-27 15:22:20,13979
46,OX-8862021010024,2022-09-27 15:22:24,13980
621,OX-8862021010092,2022-09-27 15:21:25,23609
62,OX-8862021010015,2022-09-27 15:21:07,14871
119,OX-8862021010092,2022-09-27 15:23:28,23610
62,OX-8862021010015,2022-09-27 15:23:05,14872
62,OX-8862021010015,2022-09-27 15:23:09,14873
554,OX-8862021010024,2022-09-27 15:26:10,13981
528,OX-8862021010078,2022-09-27 15:27:39,13000
621,OX-8862021010092,2022-09-27 15:24:52,23611
160,OX-8862021010087,2022-09-27 15:27:40,254
538,OX-8862021010078,2022-09-27 15:30:14,13001
271,OX-8862021010098,2022-09-27 15:31:19,13379
201,OX-8862021010003,2022-09-27 15:32:57,21784
122,OX-8862021010012,2022-09-27 15:31:03,6026
653,OX-8862021010014,2022-09-27 15:29:45,22941
119,OX-8862021010092,2022-09-27 15:30:55,23612
68,OX-8862021010012,2022-09-27 15:31:48,6027
